agg_id,transaction_amount,currency,transaction_date,memo,orig_ref
AGG-X01,1500.00,USD,2024-01-15,WIRE - ACME,REF-2024-001
AGG-X02,250.75,USD,2024-01-15,POS VENDOR A,REF-2024-002
AGG-X03,10000.00,USD,2024-01-16,PAYROLL ACH,REF-2024-003
AGG-X04,75.50,USD,2024-01-16,FUEL CARD,REF-2024-004
AGG-X05,3200.00,USD,2024-01-17,BETA LLC WIRE,REF-2024-005
AGG-X06,180.00,USD,2024-01-17,CLOUD SVC SUB,REF-2024-006
AGG-X07,4500.00,USD,2024-01-18,CHECK DEPOSIT,REF-2024-007
AGG-X09,15000.00,USD,2024-01-19,GAMMA INC WIRE,REF-2024-009
AGG-X10,500.00,USD,2024-01-19,ATM CASH,REF-2024-010
AGG-X11,330.00,USD,2024-01-20,ELECTRIC BILL,REF-2024-011
AGG-X12,1200.00,USD,2024-01-20,DELTA CO TFR,REF-2024-012
AGG-X13,875.00,USD,2024-01-21,UNKNOWN CREDIT,REF-2024-013
