entry_id,debit_credit_amount,currency,entry_date,notes,source_ref
ME-001,1500.00,USD,2024-01-15,ACME CORP WIRE IN,REF-2024-001
ME-002,250.75,USD,2024-01-15,VENDOR A POS,REF-2024-002
ME-003,10000.00,USD,2024-01-16,PAYROLL RUN JAN,REF-2024-003
ME-004,75.50,USD,2024-01-16,FUEL REIMBURSEMENT,REF-2024-004
ME-005,3200.00,USD,2024-01-17,BETA LLC PAYMENT,REF-2024-005
ME-006,180.00,USD,2024-01-17,SAAS SUBSCRIPTION,REF-2024-006
ME-007,4500.00,USD,2024-01-19,CHECK DEPOSIT POSTED LATE,REF-2024-007
ME-008,92.30,USD,2024-01-18,OFFICE SUPPLIES,REF-2024-008
ME-009,15000.00,USD,2024-01-19,GAMMA INC PAYMENT,REF-2024-009
ME-010,500.00,USD,2024-01-19,CASH WITHDRAWAL,REF-2024-010
ME-012,1200.00,USD,2024-01-20,DELTA WIRE OUT,REF-2024-012
